id	logFC	AveExpr	t	P.Value	adj.P.Val	B
RRAS2	-0.598526512757953	8.64409116183575	-18.4500710242537	5.91322473073051e-56	5.93184043821614e-54	116.606541003779
MMP7	3.01893459592861	7.33685100966184	18.4484974361541	6.00862352984526e-56	5.99056079653468e-54	116.590619160215
CHAD	-1.41553476324596	6.19133639855072	-18.4166266381961	8.30878887765283e-56	8.23330049089854e-54	116.2681727724
EDA	-0.324545173312884	5.06978302415459	-18.4034661523593	9.49853158678544e-56	9.35519011011213e-54	116.135039920778
SLC3A1	-1.57137196918572	6.70763085024155	-18.3918583215116	1.06884601443054e-55	1.04637449280185e-53	116.01762160208
PMEPA1	0.842997739472956	8.74193689371981	18.371689937714	1.3121051906632e-55	1.27682763194417e-53	115.813626869887
PLS3	0.912127376394315	8.4455812173913	18.349578194403	1.64282797185385e-55	1.58914270063077e-53	115.590001452119
SGK2	-1.67028794150865	8.3825786884058	-18.3440085524024	1.73852224673437e-55	1.67175887761422e-53	115.533677564037
NR6A1	-0.62421500481038	6.01330354830918	-18.3136016693443	2.36811976741388e-55	2.26378319648488e-53	115.22621369875
MANF	0.626691034997208	10.6531018236715	18.3073857916455	2.52254727001723e-55	2.39730501082164e-53	115.1633673096
VLDLR	-1.44990331413832	5.9887052173913	-18.2989055329069	2.74959020334251e-55	2.59788316247204e-53	115.077630161204
PCK2	-1.13579916885109	9.05150935507246	-18.2925655054567	2.93257621057727e-55	2.75475699410932e-53	115.013533869116
PDIA5	0.641692981385948	8.80520889371981	18.2900178698602	3.00948974455193e-55	2.81075964590307e-53	114.987778478101
HMGCS2	-3.25783061809816	9.03819236714976	-18.2258053394121	5.77870656896491e-55	5.36627202584279e-53	114.338744598956
FCGRT	-0.802136830660899	9.37755592270531	-18.2232726728947	5.92930647788064e-55	5.47483861204763e-53	114.31315041765
SUOX	-0.73836123396542	7.63736929710145	-18.2160940670492	6.37782436575308e-55	5.85570755750584e-53	114.240608188481
MMP3	4.22229823096766	8.87420539855072	18.1956339372031	7.85101514672966e-55	7.16780040165751e-53	114.03386864348
VNN1	2.88607216285556	8.38029232125604	18.1901059728306	8.30441006130845e-55	7.53938368191752e-53	113.978015617546
DUSP4	1.32206308484384	7.0101089468599	18.1700731097645	1.01780333428584e-54	9.18057874324761e-53	113.775624678698
RDH5	-0.761390775306749	7.34585386714976	-18.1696185594325	1.02251230849044e-54	9.18057874324761e-53	113.771032665805
IFITM2	1.1510073131623	9.96763752657005	18.1686420530875	1.03270231779761e-54	9.22112382776321e-53	113.761167729149
CROT	-1.09482879810374	6.83337738888889	-18.1412478578431	1.36388977442748e-54	1.21117883738913e-52	113.484447983155
HSD3B2	-2.32962195119911	5.35481311835749	-18.1357537974716	1.44213133836642e-54	1.2736998032496e-52	113.428955885749
TUBAL3	-1.69692437730062	7.21366952415459	-18.1244487252235	1.61752467522546e-54	1.42088613497778e-52	113.314776302082
DRAM1	1.31183828248745	8.02580020289855	18.1183897258582	1.72014364734687e-54	1.50290615123838e-52	113.253584595787
HLA-DMA	1.19809287925266	10.2054702028986	18.103110225192	2.00875415981856e-54	1.74568255888831e-52	113.099282500705
ATPAF1	-0.536696391731731	7.56655451207729	-18.0997429419549	2.07860099033998e-54	1.79677365393697e-52	113.065279530189
ANK3	-1.11674543139989	7.4782025	-18.0961986584467	2.15474273033801e-54	1.85273672543508e-52	113.029489983838
UGT1A1	-1.59278520078081	8.15730597342995	-18.0798309615479	2.54416224494719e-54	2.17606213908615e-52	112.864222309823
